あいすけ	愛育
あきかず	空知
あきかず	日和
あきちか	空知
あきちか	璃和
あきてる	旭輝
あきてる	明輝
あきとも	空知
あきとも	日知
あきはる	明陽
あきひさ	明央
あきひろ	輝優
あきまさ	輝優
あきみつ	陽光
あきや	明陽
あきよし	瑛良
あきよし	秋良
あきよし	昭良
あきよし	晶良
あきよし	彬良
あきよし	明佳
あきよし	明良
あきよし	亮良
あすと	未来翔
あすと	明日翔
あたる	央
あたる	在
あたる	真
あたる	直
あたる	陽
あたる	陽琉
あつお	淳生
あつと	真都
あつのり	淳紀
あつのり	敦規
あつふみ	敦史
あつむ	温
あつむ	伍
あつむ	淳
あつむ	侑
あゆう	歩宇
あゆう	歩佑
ありと	有翔
いくと	生斗
いさお	勲
いさお	公
いさお	功
いさお	徳
いさお	勇
いさむ	偉
いさむ	勲
いさむ	武
いさむ	満
いさむ	勇
いさむ	湧
いずき	稜基
いずき	稜稀
いずき	稜己
いずき	和輝
いずる	出
いたる	至
いたる	周
いたる	純
いたる	暢
いたる	流
いたる	諄
いちたか	一貴
いちや	一也
いっき	一葵
いっき	一喜
いっき	一希
いっき	一季
いっき	一稀
いっき	一紀
いっき	一貴
いっき	一輝
いっき	一樹
いっき	一綺
いっき	逸希
いっき	樹紀
いっき	粋
いっけい	一慶
いっと	一斗
いっと	一翔
うみや	海也
うりゅう	羽流
おうき	皇輝
おうき	桜生
おうき	大
おうすけ	央理
おうや	桜陽
おおが	大翔
おとき	乙稀
おとき	響輝
かいおう	海央
かいき	海生
かいち	海莉
かいよう	海洋
かいん	海音
かずうみ	一海
かずきよ	一聖
かずし	一心
かずたか	一貴
かずたか	和貴
かずてる	一輝
かずてる	和輝
かずと	一音
かずと	一斗
かずと	一歩
かずと	一翔
かずと	一颯
かずと	千都
かずと	千翔
かずと	和音
かずと	和杜
かずとし	一紀
かずとし	万寿
かずとし	和紀
かずなり	一也
かずのぶ	一樹
かずのぶ	一葉
かずのり	一紀
かずのり	一慶
かずのり	和紀
かずのり	和記
かずはる	一晴
かずはる	一遥
かずはる	千治
かずはる	千晴
かずひさ	千寿
かずひさ	和央
かずひさ	和弥
かずひろ	千寛
かずひろ	千宏
かずひろ	千博
かずひろ	千弥
かずひろ	千裕
かずひろ	万広
かずひろ	万尋
かずひろ	万博
かずひろ	雄大
かずまさ	一聖
かずむ	和夢
かずゆき	和幸
かつし	勝
かつよし	勝美
かぶと	甲
がい	亥
がく	楽
がく	樂
きしょう	希星
きしょう	希生
きしょう	季生
きしょう	輝生
きしょう	来翔
きずく	築
きせい	希星
きせい	希生
きせい	輝生
きせい	樹星
きょうせい	響生
きょうた	叶多
きよと	陽翔
くうと	空音
くりゅう	空琉
くりゅう	紅瑠
けいた	啓
けいた	恵樹
けんと	絢登
けんと	絢飛
げん	元
げん	弦
げん	玄
げん	絃
げん	言
こうが	空雅
こうすけ	幸空
こうせい	倖生
こうた	光海
こうや	宏弥
こうよう	紅葉
こうりゅう	光琉
こお	冴
ごう	郷
ごう	剛
さいき	彩希
さいき	彩生
さいと	哉翔
さいと	彩音
さいと	彩都
さく	幸空
さく	彩来
さく	采空
さく	咲
さく	朔
さく	桜
さく	生
さく	爽来
さく	櫻
さく	颯空
さくと	桜音
さくと	桜都
さくと	桜翔
さくや	開陽
さくや	咲陽
さくや	桜陽
さとき	仁葵
さとき	仁希
さとき	仁稀
さとし	叡
さとし	覚
さとし	教
さとし	郷
さとし	暁
さとし	啓
